timestamp,distance,temperature,brightness
112781,4095,warm,73
113363,4095,warm,73
113936,4095,warm,73
114639,4095,warm,73
115212,4095,warm,73
115795,4095,warm,73
116468,4095,warm,73
117083,4095,warm,73
117695,4095,warm,73
118307,4095,warm,73
118882,4095,warm,73
119464,4095,warm,73
120157,4095,warm,73
120760,4095,warm,73
121343,4095,warm,73
121920,4095,warm,73
122608,4095,warm,73
178199,4095,warm,73
180163,4095,warm,73
180786,4095,warm,73
181399,4095,warm,73
182423,4095,warm,73
183245,4095,warm,73
184059,4095,warm,73
184883,4095,warm,73
185698,4095,warm,73
186524,4095,warm,73
187341,4095,warm,73
188157,4095,warm,73
188985,4095,warm,73
189801,4095,warm,73
190524,4095,warm,73
191098,4095,warm,73
191682,4095,warm,73
192255,4095,warm,73
192873,4095,warm,73
193447,48,cool,227
194032,48,cool,227
194616,64,cool,227
195330,4095,warm,73
195945,4095,warm,73
196564,4095,warm,73
197169,4095,warm,73
197783,4095,warm,73
198367,4095,warm,73
198950,4095,warm,73
199532,4095,warm,73
200436,4095,warm,73
201060,42,cool,227
201644,37,cool,227
202290,4095,warm,73
202903,4095,warm,73
203522,4095,warm,73
204135,4095,warm,73
204752,4095,warm,73
205338,4095,warm,73
205973,4095,warm,73
206595,4095,warm,73
207208,4095,warm,73
207820,4095,warm,73
208434,4095,warm,73
209009,4095,warm,73
209593,4095,warm,73
210166,4095,warm,73
210790,47,cool,227
211363,43,cool,227
211948,0,cool,227
212731,4095,warm,73
213309,4095,warm,73
213891,4095,warm,73
214576,4095,warm,73
215148,4095,warm,73
215724,4095,warm,73
216307,4095,warm,73
216888,4095,warm,73
217464,4095,warm,73
218048,4095,warm,73
218683,4095,warm,73
219265,4095,warm,73
219910,4095,warm,73
220514,4095,warm,73
221157,4095,warm,73
221750,4095,warm,73
222372,4095,warm,73
222974,4095,warm,73
223596,4095,warm,73
224209,4095,warm,73
224793,4095,warm,73
225367,4095,warm,73
225941,4095,warm,73
226663,4095,warm,73
227297,4095,warm,73
227869,4095,warm,73
228501,4095,warm,73
229073,4095,warm,73
229647,4095,warm,73
230230,4095,warm,73
230963,4095,warm,73
231587,4095,warm,73
232173,4095,warm,73
232806,4095,warm,73
233379,4095,warm,73
234034,4095,warm,73
234631,4095,warm,73
235209,4095,warm,73
235791,4095,warm,73
236364,4095,warm,73
237117,4095,warm,73
237690,4095,warm,73
238263,4095,warm,73
238837,4095,warm,73
239411,4095,warm,73
240186,4095,warm,73
240802,37,cool,227
241413,64,cool,227
242037,4095,warm,73
242631,4095,warm,73
243258,4095,warm,73
243865,48,cool,227
244487,64,cool,227
245094,63,cool,227
245706,4095,warm,73
246321,4095,warm,73
246943,4095,warm,73
247555,4095,warm,73
248130,4095,warm,73
248784,4095,warm,73
249396,4095,warm,73
250009,4095,warm,73
250584,49,cool,227
251247,61,cool,227
251821,64,cool,227
252404,4095,warm,73
253089,4095,warm,73
253692,4095,warm,73
254266,4095,warm,73
254843,4095,warm,73
255553,4095,warm,73
256135,4095,warm,73
256707,4095,warm,73
257296,4095,warm,73
257869,4095,warm,73
258465,4095,warm,73
259049,4095,warm,73
259833,4095,warm,73
260417,4095,warm,73
261069,48,cool,227
261643,64,cool,227
262300,4095,warm,73
262916,4095,warm,73
263503,4095,warm,73
264136,48,cool,227
264719,4095,warm,73
265372,4095,warm,73
265996,4095,warm,73
266600,4095,warm,73
267173,4095,warm,73
267756,4095,warm,73
268449,4095,warm,73
269024,4095,warm,73
269670,4095,warm,73
270244,4095,warm,73
270907,4095,warm,73
271521,4095,warm,73
272126,48,cool,227
272745,4095,warm,73
273330,4095,warm,73
273975,4095,warm,73
274561,4095,warm,73
275205,4095,warm,73
275786,4095,warm,73
276386,4095,warm,73
276960,4095,warm,73
277663,4095,warm,73
278249,4095,warm,73
278892,4095,warm,73
279470,4095,warm,73
280043,4095,warm,73
280727,4095,warm,73
281344,4095,warm,73
281917,4095,warm,73
282493,4095,warm,73
283195,4095,warm,73
283807,4095,warm,73
284389,4095,warm,73
284974,4095,warm,73
285546,4095,warm,73
286128,4095,warm,73
286700,4095,warm,73
287273,4095,warm,73
287898,4095,warm,73
288480,4095,warm,73
289052,48,cool,227
289744,4095,warm,73
290327,4095,warm,73
290967,4095,warm,73
291580,45,cool,227
292153,4095,warm,73
292783,4095,warm,73
293437,48,cool,227
294049,54,cool,227
294635,4095,warm,73
295267,4095,warm,73
295892,4095,warm,73
296494,48,cool,227
297077,4095,warm,73
297729,4095,warm,73
298356,4095,warm,73
298938,4095,warm,73
299527,4095,warm,73
300189,4095,warm,73
300801,4095,warm,73
301414,4095,warm,73
301988,4095,warm,73
302571,4095,warm,73
303258,4095,warm,73
303875,4095,warm,73
304493,4095,warm,73
305106,4095,warm,73
305689,4095,warm,73
